ASO定制,#genre#
凤凰资讯,http://live.centerch.com/fhzx.m3u8#http://117.169.120.138:8080/live/fhzixun/.m3u8
CCTV1,http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-cctv1gq/online.m3u8#CCTV1,http://118.123.60.201:8114/LIVES/Fsv_otype=3&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=42&Provider_id=&Pcontent_id=index.m3u8#http://121.31.30.90:8085/ysten-business/live/hdcctv01/1.m3u8
CCTV2,http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-cctv2/online.m3u8#http://39.135.32.29:6610/000000001000/1000000001000012442/1.m3u8?IASHttpSessionId=OTT#http://111.11.123.41:6610/030000001000/G_CCTV-2/G_CCTV-2.m3u8?IASHttpSessionId=OTT336820200108122817000062 
CCTV3,http://39.135.32.29:6610/000000001000/8378175926191110263/1.m3u8?IASHttpSessionId=OTT#http://117.169.120.98:8080/ysten-businessmobile/live/HD-8000k-1080P-cctv3/1.m3u8
CCTV4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8#http://39.134.52.153/PLTV/88888888/224/3221226114/index.m3u8
CCTV5,http://39.135.32.29:6610/000000001000/1000000001000004794/1.m3u8?IASHttpSessionId=OTT
CCTV6,http://39.135.32.29:6610/000000001000/6117099895556651277/1.m3u8?IASHttpSessionId=OTT#http://117.169.120.169:8080/live/cctv-6/.m3u8?icpid=88888929&from=79102&hms_devid=492,441&online=1578489597&vqe=3
CCTV7,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.135.32.29:6610/000000001000/1000000001000003736/1.m3u8?IASHttpSessionId=OTT
CCTV9,http://39.135.32.29:6610/000000001000/6275371742726901431/1.m3u8?IASHttpSessionId=OTT#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8
CCTV10,http://111.11.123.37:6610/030000001000/CCTV-10/CCTV-10.m3u8?IASHttpSessionId=OTT1894820200108124018000044#http://117.169.120.140:8080/live/cctv-10/.m3u8
CCTV11,http://111.11.123.38:6610/030000001000/CCTV-11/CCTV-11.m3u8?IASHttpSessionId=OTT956820200108124738000031
CCTV12,http://111.11.123.36:6610/030000001000/CCTV-12/CCTV-12.m3u8?IASHttpSessionId=OTT1895120200108125127000076#http://39.135.32.24:6610/000000001000/1000000001000001640/index.m3u8?i=&IASHttpSessionId=OTT1677120200108125038000193
CCTV13,http://111.11.123.41:6610/030000001000/CCTV-13/CCTV-13.m3u8?IASHttpSessionId=OTT343020200108125239000054#http://118.123.60.9:8114/LIVES/Fsv_otype=1?FvSeid=6132cc3f09487cdd&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=26&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=index.m3u8&Fsv_CMSID=&Fsv_otype=1
CCTV14,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225819/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225557/index.m3u8
CCTV15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV17,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226990/index.m3u8#http://117.169.120.98:8080/ysten-businessmobile/live/HD-4000k-1080P-cctv17/1.m3u8
CCTV5+,http://117.169.120.98:8080/ysten-businessmobile/live/HD-8000k-1080P-cctv05plus/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225821/index.m3u8#http://39.135.32.29:6610/000000001000/1000000001000020505/1.m3u8?IASHttpSessionId=OTT
江苏,http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-jswsgq/online.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000075#http://39.135.32.29:6610/000000001000/1000000001000004684/1.m3u8?IASHttpSessionId=OTT,http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-jswsgq/online.m3u8
